date,case,affiliation
4/23/2020,1,graduate student
6/9/2020,1,campus employee
6/29/2020,1,campus employee
7/6/2020,1,campus employee
7/7/2020,1,campus employee
7/10/2020,1,campus employee
7/12/2020,1,campus employee
7/14/2020,1,campus employee
7/20/2020,1,campus employee
7/21/2020,1,campus employee
7/26/2020,1,campus employee
7/28/2020,3,campus employee
7/30/2020,1,CCC employee
7/31/2020,1,campus employee
8/3/2020,2,CCC employee
8/10/2020,1,graduate student
8/19/2020,1,campus employee
8/26/2020,1,campus employee
9/14/2020,1,campus employee
9/25/2020,1,undergraduate student
10/8/2020,1,campus employee
10/22/2020,1,campus employee
10/25/2020,3,CCC employee
11/1/2020,1,graduate student
11/9/2020,1,CCC employee
11/9/2020,1,campus employee
11/12/2020,1,campus employee
11/18/2020,2,campus employee
11/20/2020,1,campus employee
11/23/2020,1,campus employee
11/24/2020,1,graduate student
11/30/2020,2,campus employee
12/1/2020,3,campus employee
12/2/2020,4,campus employee
12/3/2020,1,CCC employee
12/7/2020,3,campus employee
12/8/2020,1,campus employee
12/8/2020,1,graduate student
12/9/2020,4,campus employee
12/9/2020,1,graduate student
12/10/2020,8,campus employee
12/11/2020,3,campus employee
12/11/2020,1,undergraduate student
12/14/2020,9,campus employee
12/14/2020,1,postdoc
12/14/2020,1,faculty
12/14/2020,2,graduate student
12/16/2020,6,campus employee
12/17/2020,2,campus employee
12/18/2020,1,campus employee
12/22/2020,2,campus employee
12/22/2020,1,off-campus employee
12/23/2020,2,campus employee
12/23/2020,2,postdoc
12/28/2020,3,campus employee
12/28/2020,1,graduate student
12/30/2020,2,campus employee
12/30/2020,1,faculty
1/4/2021,4,campus employee
1/4/2021,1,graduate student
1/4/2021,1,postdoc
1/5/2021,6,campus employee
1/5/2021,1,graduate student
1/6/2021,3,campus employee
1/7/2021,8,campus employee
1/7/2021,2,graduate student
1/8/2021,6,campus employee
1/8/2021,1,graduate student
1/11/2021,8,campus employee
1/11/2021,1,graduate student
1/12/2021,1,campus employee
1/12/2021,3,graduate student
1/13/2021,1,campus employee
1/14/2021,2,campus employee
1/14/2021,1,graduate student
1/19/2021,3,campus employee
1/19/2021,1,graduate student
1/20/2021,1,campus employee
1/20/2021,1,graduate student
1/21/2021,3,campus employee
1/21/2021,1,graduate student
1/25/2021,1,graduate student
1/25/2021,1,off-campus employee
1/26/2021,1,campus employee
1/27/2021,1,campus employee
2/8/2021,1,campus employee
2/10/2021,1,campus employee
2/11/2021,1,campus employee
2/12/2021,1,campus employee
2/16/2021,1,graduate student
2/26/2021,1,campus employee
3/8/2021,1,graduate student
3/8/2021,1,campus employee
3/11/2021,1,campus employee
3/16/2021,1,campus employee
3/22/2021,1,postdoc
3/22/2021,1,graduate student
3/23/2021,1,campus employee
3/29/2021,1,campus employee
4/2/2021,1,campus employee
4/9/2021,1,off-campus employee
4/12/2021,1,campus employee
4/14/2021,1,student
4/20/2021,1,campus employee
4/28/2021,2,campus employee
5/12/2021,1,campus employee
6/30/2021,1,campus employee
7/13/2021,1,postdoc
7/15/2021,1,campus employee
7/19/2021,1,graduate student
7/20/2021,1,campus employee
7/26/2021,1,campus employee
7/26/2021,1,graduate student
7/28/2021,1,campus employee
7/30/2021,1,off-campus employee
8/2/2021,2,campus employee
8/2/2021,1,off-campus employee
8/3/2021,2,campus employee
8/4/2021,2,campus employee
8/4/2021,1,off-campus employee
8/6/2021,1,campus employee
8/6/2021,1,external affiliate
8/9/2021,2,campus employee
8/9/2021,1,off-campus employee
8/9/2021,1,graduate student
8/10/2021,1,graduate student
8/11/2021,1,campus employee
8/13/2021,1,graduate student
8/16/2021,1,campus employee
8/17/2021,1,undergraduate student
8/17/2021,1,campus employee
8/18/2021,1,campus employee
8/19/2021,1,off-campus employee
8/23/2021,1,off-campus employee
8/24/2021,1,undergraduate student
8/24/2021,1,graduate student
8/25/2021,1,undergraduate student
8/25/2021,1,campus employee
8/26/2021,1,undergraduate student
8/31/2021,1,undergraduate student
8/31/2021,2,campus employee
9/1/2021,1,graduate student
9/1/2021,1,campus employee
9/2/2021,1,graduate student
9/3/2021,1,graduate student
9/3/2021,1,campus employee
9/7/2021,1,graduate student
9/7/2021,1,campus employee
9/8/2021,1,campus employee
9/10/2021,1,graduate student
9/10/2021,1,campus employee
9/10/2021,1,off-campus employee
9/13/2021,2,campus employee
9/16/2021,1,campus employee
9/17/2021,2,campus employee
10/4/2021,2,graduate student
10/12/2021,1,graduate student
10/13/2021,1,campus employee
10/14/2021,1,off-campus employee
10/20/2021,1,campus employee
