affiliation,week of,total cases
graduate students,2020-04-19,1
campus employees,2020-06-07,1
campus employees,2020-06-28,1
campus employees,2020-07-05,4
campus employees,2020-07-12,1
campus employees,2020-07-19,3
CCC employees,2020-07-26,1
campus employees,2020-07-26,4
CCC employees,2020-08-02,2
graduate students,2020-08-09,1
campus employees,2020-08-16,1
campus employees,2020-08-23,1
campus employees,2020-09-13,1
campus employees,2020-10-04,1
CCC employees,2020-10-18,3
campus employees,2020-10-18,1
campus employees,2020-11-08,2
CCC employees,2020-11-08,1
campus employees,2020-11-15,3
campus employees,2020-11-22,1
graduate students,2020-11-22,1
campus employees,2020-11-29,9
CCC employees,2020-11-29,1
campus employees,2020-12-06,19
undergraduate students,2020-12-06,1
graduate students,2020-12-06,2
faculty,2020-12-13,1
graduate students,2020-12-13,2
postdocs,2020-12-13,1
campus employees,2020-12-13,18
campus employees,2020-12-20,4
postdocs,2020-12-20,2
off-campus employees,2020-12-20,1
graduate students,2020-12-27,1
faculty,2020-12-27,1
campus employees,2020-12-27,5
postdocs,2021-01-03,1
campus employees,2021-01-03,27
graduate students,2021-01-03,5
graduate students,2021-01-10,5
campus employees,2021-01-10,12
campus employees,2021-01-17,7
graduate students,2021-01-17,3
campus employees,2021-01-24,2
off-campus employees,2021-01-24,1
graduate students,2021-01-24,1
campus employees,2021-02-07,4
graduate students,2021-02-14,1
campus employees,2021-02-21,1
campus employees,2021-03-07,2
graduate students,2021-03-07,1
campus employees,2021-03-14,1
campus employees,2021-03-21,1
graduate students,2021-03-21,1
postdocs,2021-03-21,1
campus employees,2021-03-28,2
off-campus employees,2021-04-04,1
campus employees,2021-04-11,1
students,2021-04-11,1
campus employees,2021-04-18,1
campus employees,2021-04-25,2
campus employees,2021-05-09,1
campus employees,2021-06-27,1
off-campus employees,2021-07-11,1
postdocs,2021-07-11,1
graduate students,2021-07-18,1
campus employees,2021-07-18,1
off-campus employees,2021-07-25,1
graduate students,2021-07-25,1
campus employees,2021-07-25,2
campus employees,2021-08-01,6
external affiliates,2021-08-01,1
off-campus employees,2021-08-01,2
off-campus employees,2021-08-08,1
campus employees,2021-08-08,3
graduate students,2021-08-08,3
campus employees,2021-08-15,3
off-campus employees,2021-08-15,1
undergraduate students,2021-08-15,1
campus employees,2021-08-22,1
graduate students,2021-08-22,1
undergraduate students,2021-08-22,3
off-campus employees,2021-08-22,1
campus employees,2021-08-29,4
undergraduate students,2021-08-29,1
graduate students,2021-08-29,3
campus employees,2021-09-05,3
off-campus employees,2021-09-05,1
graduate students,2021-09-05,2
campus employees,2021-09-12,5
graduate students,2021-10-03,2
off-campus employees,2021-10-10,1
undergraduate students,2021-10-10,1
campus employees,2021-10-10,1
graduate students,2021-10-10,1
graduate students,2021-10-17,1
campus employees,2021-10-17,2
campus employees,2021-10-24,3
graduate students,2021-11-07,1
campus employees,2021-11-07,2
campus employees,2021-11-14,1
off-campus employees,2021-11-21,1
campus employees,2021-11-21,2
graduate students,2021-11-28,4
campus employees,2021-12-12,1
graduate students,2021-12-12,1
undergraduate students,2021-12-19,5
graduate students,2021-12-19,2
campus employees,2021-12-19,9
undergraduate students,2021-12-26,15
graduate students,2021-12-26,7
employees,2021-12-26,16
undergraduate students,2022-01-02,65
graduate students,2022-01-02,42
employees,2022-01-02,72
employees,2022-01-09,98
graduate students,2022-01-09,21
undergraduate students,2022-01-09,29
graduate students,2022-01-16,11
employees,2022-01-16,45
undergraduate students,2022-01-16,10
employees,2022-01-23,34
undergraduate students,2022-01-23,3
graduate students,2022-01-23,10
graduate students,2022-01-30,2
employees,2022-01-30,12
undergraduate students,2022-01-30,1
undergraduate students,2022-02-06,3
graduate students,2022-02-06,6
employees,2022-02-06,15
employees,2022-02-13,6
graduate students,2022-02-13,3
graduate students,2022-02-20,2
undergraduate students,2022-02-20,3
employees,2022-02-20,3
employees,2022-02-27,1
students,2022-02-27,2
employees,2022-03-06,4
students,2022-03-06,3
students,2022-03-13,8
employees,2022-03-13,3
undergraduate students,2022-03-20,1
employees,2022-03-20,3
graduate students,2022-03-20,1
students,2022-03-27,18
employees,2022-03-27,4
students,2022-04-03,10
employees,2022-04-03,9
students,2022-04-10,23
employees,2022-04-10,5
students,2022-04-17,23
undergraduate students,2022-04-17,7
employees,2022-04-17,7
undergraduate students,2022-04-24,20
employees,2022-04-24,7
graduate students,2022-04-24,10
graduate students,2022-05-01,6
undergraduate students,2022-05-01,1
employees,2022-05-01,16
graduate students,2022-05-08,6
employees,2022-05-08,15
undergraduate students,2022-05-08,2
graduate students,2022-05-15,19
employees,2022-05-15,32
undergraduate students,2022-05-15,14
graduate students,2022-05-22,61
employees,2022-05-22,11
undergraduate students,2022-05-22,10
graduate students,2022-05-29,17
employees,2022-05-29,30
undergraduate students,2022-05-29,55
employees,2022-06-05,34
undergraduate students,2022-06-05,17
graduate students,2022-06-05,15
undergraduate students,2022-06-12,20
graduate students,2022-06-12,24
employees,2022-06-12,38
graduate students,2022-06-19,22
employees,2022-06-19,47
undergraduate students,2022-06-19,20
graduate students,2022-06-26,16
employees,2022-06-26,47
undergraduate students,2022-06-26,12
employees,2022-07-03,68
graduate students,2022-07-03,28
undergraduate students,2022-07-03,4
graduate students,2022-07-10,20
undergraduate students,2022-07-10,8
employees,2022-07-10,41
graduate students,2022-07-17,14
undergraduate students,2022-07-17,9
employees,2022-07-17,42
undergraduate students,2022-07-24,7
graduate students,2022-07-24,14
employees,2022-07-24,60
students,2022-07-31,4
employees,2022-07-31,26
graduate students,2022-07-31,4
employees,2022-08-07,30
students,2022-08-07,12
employees,2022-08-14,28
students,2022-08-14,14
employees,2022-08-21,19
students,2022-08-21,8
employees,2022-08-28,16
students,2022-08-28,4
employees,2022-09-04,22
students,2022-09-04,12
students,2022-09-11,4
employees,2022-09-11,12
students,2022-09-18,11
